,hq_city,hq_country,number_branches,branch_names
217,"Kathmandu, Nepal",Nepal,1,Nepal
218,"Apple Valley, California",USA,1,USA
219,"Brussels, Belgum",Belgum,4,"Austria, Belgum, Czech Republic, The Netherlands"
220,"Sioux Falls, South Dakota",USA,2,"South Dakota USA, Los Cabos Mexico"
221,"Gastonia, North Carolina",USA,1,USA
222,Thailand,Thailand,1,Thailand
223,Slovakia,Slovakia,1,Slovakia
224,"Tauranga, NZ",New Zealand,1,New Zealand
225,"Maua, Kenya",Kenya,1,Kenya
226,Paris,France,15,"Germany, Argentina, Belgium, Canada, Spain, USA, France, Greece, Japan, Luxembourg, Netherlands, Portugal, UK, Sweden, Switzerland"
227,Geneva,Switzerland,24,"Australia, Austria, Belgium, Brazil, Canada, Denmark, East Africa Association, France, Germany, Greece, Holland, Hong Kong (China), Italy, Japan, Latin America, Luxembourg, Norway, South Asia Regional Association, Southern Africa, Spain, Sweden, Switzerland, United Kingdom, USA"
228,London,UK,1,UK
229,"Stafford, TX",USA,1,USA
230,"Baton Rouge, LA",USA,1,USA
231,"London, England",England/UK,1,UK
232,"Allen, Texas",USA,1,USA
233,"Manassas, Virginia",USA,1,USA
234,"Chicago, Illinois",USA,5,"USA, Europe, the Americas, East and Central Africa, West Africa"
235,"Woburn, Massachusetts",USA,1,USA
236,"Lenexa, KS",USA,1,USA
237,"Baltimore, MD",USA,1,USA
238,"Portland, Oregon",USA,1,USA
239,"Stratford, CT",USA,1,USA
240,"Broomfield, Colorado",USA,1,USA
241,"Burbank, California",USA,1,USA
242,"Kuala Lumpur, Malaysia",Malaysia,1,Malaysia
243,"Westervill, OH",USA,1,USA
244,"Garden Valley, TX",USA,16,"Denmark, New Zealand, Spain, Australia, France, Norway, Sweden, Belgium, Germany, Southern Africa, Switzerland, Canada, Holland, South Korea, United Kingdom"
245,"Lemon Grove, California",USA,1,USA
246,"Jupiter, Florida",USA,1,USA
247,"Cedar Park, TX",USA,2,"USA, Haiti"
248,"Seattle, Washington",USA,1,USA
249,"Louisville, KY",USA,1,USA
250,"Mseleni, South Africa",South Africa,1,South Africa
251,Hong Kong,China,13,"Australia, Canada, Hong Kong, Indonesia, South Korea, Malaysia, New Zealand, Philippines, Singapore, Taiwan, Thailand, UK, USA"
252,Mukinge,Zambia,1,Zambia
253,Nottingham,UK,1,UK
254,"Addis Abbaba, Ethiopia",Ethiopia,2,"Ethiopia, Korea"
255,Papua New Guinea,Papua New Guinea,1,Papua New Guinea
256,"Silver Spring, Maryland",USA,1,USA
257,Nepal,Nepal,1,Nepal
258,"Canton, OH",USA,1,USA
259,"Lancashire, England",England/UK,1,UK
260,"Zionsville, IN",USA,1,USA
261,"Waban, MA",USA,1,USA
